ID     | HORA       | RESULTADO    | PROM_CIRC  | PROM_STD  
-----------------------------------------------------------------
1      | 11:36:03   | ABOLLADA     | 0.458      | 5.859     
2      | 11:36:10   | ABOLLADA     | 0.521      | 5.552     
3      | 11:36:28   | ABOLLADA     | 0.536      | 5.215     
4      | 11:36:32   | ABOLLADA     | 0.506      | 7.276     
5      | 11:36:42   | ABOLLADA     | 0.458      | 5.859     
6      | 11:36:50   | ABOLLADA     | 0.521      | 5.552     
7      | 11:37:08   | ABOLLADA     | 0.536      | 5.215     
8      | 11:37:12   | ABOLLADA     | 0.506      | 7.276     
