2026-03-25 10:01:56 | Clase: GRANDE | Estado: ABOLLADA | H_Max: 165.0mm | Borde: 151.1mm | Centro: 156.0mm | Delta: 4.9mm | Ratio: 0.916 | Score: 0.245
2026-03-25 10:01:59 | Clase: MEDIANA | Estado: DUDA | H_Max: 114.0mm | Borde: 103.8mm | Centro: 105.0mm | Delta: 1.2mm | Ratio: 0.910 | Score: 0.103
2026-03-25 10:02:04 | Clase: CHICA | Estado: ABOLLADA | H_Max: 26.0mm | Borde: 19.6mm | Centro: 22.4mm | Delta: 2.7mm | Ratio: 0.755 | Score: 0.256
2026-03-25 10:02:07 | Clase: GRANDE | Estado: DUDA | H_Max: 157.0mm | Borde: 151.5mm | Centro: 149.0mm | Delta: 2.5mm | Ratio: 0.965 | Score: 0.122
2026-03-25 10:02:16 | Clase: CHICA | Estado: ABOLLADA | H_Max: 31.0mm | Borde: 23.4mm | Centro: 21.0mm | Delta: 2.4mm | Ratio: 0.755 | Score: 0.243
2026-03-25 10:02:20 | Clase: GRANDE | Estado: NORMAL | H_Max: 161.0mm | Borde: 152.4mm | Centro: 151.6mm | Delta: 0.8mm | Ratio: 0.947 | Score: 0.063
2026-03-25 10:02:24 | Clase: CHICA | Estado: ABOLLADA | H_Max: 28.0mm | Borde: 21.2mm | Centro: 22.0mm | Delta: 0.8mm | Ratio: 0.759 | Score: 0.175
2026-03-25 10:02:51 | Clase: GRANDE | Estado: ABOLLADA | H_Max: 168.0mm | Borde: 152.4mm | Centro: 159.0mm | Delta: 6.6mm | Ratio: 0.907 | Score: 0.321
2026-03-25 10:02:58 | Clase: MEDIANA | Estado: DUDA | H_Max: 113.0mm | Borde: 105.0mm | Centro: 104.0mm | Delta: 1.0mm | Ratio: 0.930 | Score: 0.084
2026-03-25 10:03:04 | Clase: CHICA | Estado: ABOLLADA | H_Max: 26.0mm | Borde: 20.3mm | Centro: 20.4mm | Delta: 0.1mm | Ratio: 0.780 | Score: 0.138
2026-03-25 10:03:11 | Clase: GRANDE | Estado: ABOLLADA | H_Max: 159.0mm | Borde: 152.3mm | Centro: 156.4mm | Delta: 4.1mm | Ratio: 0.958 | Score: 0.189
2026-03-25 10:03:18 | Clase: MEDIANA | Estado: ABOLLADA | H_Max: 114.0mm | Borde: 104.5mm | Centro: 108.5mm | Delta: 4.0mm | Ratio: 0.917 | Score: 0.210
2026-03-25 10:03:25 | Clase: CHICA | Estado: ABOLLADA | H_Max: 28.0mm | Borde: 22.2mm | Centro: 21.6mm | Delta: 0.6mm | Ratio: 0.792 | Score: 0.149
2026-03-25 10:03:31 | Clase: GRANDE | Estado: ABOLLADA | H_Max: 165.0mm | Borde: 152.6mm | Centro: 159.9mm | Delta: 7.3mm | Ratio: 0.925 | Score: 0.338
2026-03-25 10:03:45 | Clase: CHICA | Estado: ABOLLADA | H_Max: 28.0mm | Borde: 20.0mm | Centro: 23.0mm | Delta: 3.0mm | Ratio: 0.714 | Score: 0.291
